image_url,scenes
https://farm2.staticflickr.com/1086/1002051357_0e9162423e.jpg,loveliness
https://farm1.staticflickr.com/53/126914262_e3c00b2d82.jpg,loveliness;sleep;thing;beauty;joy;dreams;days;natures;nothingness
https://farm1.staticflickr.com/57/183601926_baa84a7167.jpg,loveliness;love;song;hour;dream;gods;minute;while
https://farm3.staticflickr.com/2207/2370148220_0e0c04c964.jpg,loveliness;mind;time;nature;feeling;imagination
https://farm1.staticflickr.com/76/277887734_f4b24215cb.jpg,loveliness;autumn;fills
https://farm1.staticflickr.com/143/319857462_59cc638430.jpg,loveliness;perfection
https://farm5.staticflickr.com/4020/4449972755_a820c9ae82.jpg,loveliness;spring;nature
https://farm7.staticflickr.com/6044/6334631613_57c33d571c.jpg,loveliness;thing;beauty;joy;nothingness
https://farm8.staticflickr.com/7236/7169621624_929c5332f4.jpg,loveliness;voice;gloom;shines;shadows
https://farm1.staticflickr.com/6/9589208_6f7cefba3c.jpg,loveliness;sleep;thing;beauty;joy;dreams;nothingness
https://farm8.staticflickr.com/7434/10024691123_ba6ba177c6.jpg,sorrow;nothing;yellow
https://farm4.staticflickr.com/3687/11383673333_163c209189.jpg,sorrow;heart;voice;stay;joy;dreams;sunset;blows
https://farm2.staticflickr.com/1322/1472335689_438fa0b28f.jpg,sorrow;night
https://farm2.staticflickr.com/1061/1479069899_0be5b69760.jpg,sorrow;stem;shadow;springs;blur;shame
https://farm3.staticflickr.com/2354/1607287650_c1b6be54c4.jpg,sorrow;nothing;dawn;truth;hope
https://farm3.staticflickr.com/2389/2229159638_e32f91d15e.jpg,sorrow;morning;heart;fear;taste
https://farm3.staticflickr.com/2172/2253237951_d004dbd490.jpg,sorrow;smile;sigh;sadness;gladness
https://farm4.staticflickr.com/3083/2306602402_f552f1d5c4.jpg,sorrow;life;heart;silence;fear;joy;hearts;drink;emptiness
https://farm4.staticflickr.com/3285/2348277791_e8bfdc9463.jpg,sorrow;word;things;mile;pleasure
https://farm3.staticflickr.com/2137/2371078497_2fe9ae2f32.jpg,sorrow;love;loneliness;tomorrow
https://farm4.staticflickr.com/3271/2373139595_b8d7c2745d.jpg,sorrow;truth;praise;joy;moment;god;vision
https://farm3.staticflickr.com/2013/2391357524_57ff3ed7af.jpg,sorrow;hour;gloom;frail;year
https://farm4.staticflickr.com/3217/2404947127_a494e34bda.jpg,sorrow;thing;tides
https://farm4.staticflickr.com/3033/2412559614_8a48eaa3d4.jpg,sorrow;life;heart;use
https://farm3.staticflickr.com/2304/2421996719_d80afb9b1b.jpg,sorrow;time;heart;year
https://farm4.staticflickr.com/3026/2621162334_47000713c8.jpg,sorrow;heart;power;beauty;frail
https://farm4.staticflickr.com/3064/2701036026_bf143803cc.jpg,sorrow;time;tear;morning;tender;days;feeling
https://farm1.staticflickr.com/108/299371492_3521b5b270.jpg,sorrow;glory;scarlet;grief
https://farm4.staticflickr.com/3141/3010652795_4b8393991e.jpg,sorrow;moment;future;past;awareness;fears;consciousness
https://farm4.staticflickr.com/3222/3031442761_749d7a7d5b.jpg,sorrow;time;life;comfort;heart;loneliness;presence;god;pain;memory;part;ones;feel
https://farm4.staticflickr.com/3178/3100195683_b5ffa7ecf4.jpg,sorrow
https://farm6.staticflickr.com/5803/31179897846_bbd611b05c.jpg,sorrow;comfort;tomorrow;memory;today;help
https://farm4.staticflickr.com/3476/3760890926_f72e0e9092.jpg,sorrow;life;depths;fear;joy;moment;confusion;minute
https://farm1.staticflickr.com/22/38220084_ff7b3c5321.jpg,sorrow;evening;cry;song;waves;thinking
https://farm1.staticflickr.com/140/384659524_3ca623ccaf.jpg,sorrow;desire;life;night;love;fire;heart;solitude;fear;dream;fairy;fears;rapture
https://farm3.staticflickr.com/2585/3851634311_c3ee0ecac3.jpg,sorrow;life;branch;tomorrow;creeps;dead
https://farm3.staticflickr.com/2730/4138333241_3e44e8f040.jpg,sorrow;kind;grief
