image_url,sentiments
https://farm2.staticflickr.com/1086/1002051357_0e9162423e.jpg,other
https://farm2.staticflickr.com/1065/1018610021_01a688842a.jpg,other;mad;old
https://farm1.staticflickr.com/6/10294398_ef38eaba90.jpg,other;heavy;high;calm
https://farm1.staticflickr.com/52/113461363_58953bf68e.jpg,other;broken
https://farm8.staticflickr.com/7423/11456971524_7c64edec19.jpg,other;frozen
https://farm1.staticflickr.com/52/124621272_bc809b0120.jpg,other;slow;weak
https://farm1.staticflickr.com/49/125052438_71f4957560.jpg,other;cool
https://farm1.staticflickr.com/38/125318689_f9196a8230.jpg,other
https://farm1.staticflickr.com/46/128894895_9f825d9b03.jpg,other;old;hot;young;bold;such;older
https://farm2.staticflickr.com/1272/1319807605_120eb2feed.jpg,other;light;same;different;right
https://farm2.staticflickr.com/1161/1381062270_149ed42daa.jpg,other;next
https://farm1.staticflickr.com/12/13839727_ca6e4768ec.jpg,other;old;wooden;main
https://farm8.staticflickr.com/7052/13928547833_73a5136d75.jpg,other
https://farm1.staticflickr.com/55/140198669_c45d4e16ea.jpg,other;wide;old;deep
https://farm1.staticflickr.com/13/14171615_309c853bdb.jpg,other;sad;dark;sudden
https://farm2.staticflickr.com/1148/1466175849_7e2b29d8eb.jpg,other;blue;much;wide;bright
https://farm2.staticflickr.com/1185/1485958796_e772b9266c.jpg,other;better;yellow;same;fair;grassy
https://farm1.staticflickr.com/46/151649747_d2b9642ff9.jpg,other;young;happy
https://farm8.staticflickr.com/7576/15650300747_6359281170.jpg,other;long;sweet;cold;empty;loud
https://farm8.staticflickr.com/7289/16308004338_2406a8a58a.jpg,other;same
https://farm1.staticflickr.com/13/17870733_a8c39e6ed7.jpg,other;green;many;easy;ordinary;colorful
https://farm3.staticflickr.com/2080/1790075070_3d98edefe3.jpg,other;better;yellow;same;fair;grassy
https://farm3.staticflickr.com/2381/1826793669_0341942076.jpg,other;better;yellow;same;fair;grassy
https://farm1.staticflickr.com/59/182824254_1e11278aed.jpg,other;more;sweet;loud;late;close
https://farm1.staticflickr.com/325/18930960814_d20e95be5d.jpg,other
https://farm3.staticflickr.com/2011/1931980127_3029db9025.jpg,other
https://farm1.staticflickr.com/14/19731358_6a523efdec.jpg,other;high
https://farm1.staticflickr.com/58/202988496_10c9aebf27.jpg,other;live;real
https://farm3.staticflickr.com/2412/2075368623_99878555c0.jpg,other;green;many
https://farm3.staticflickr.com/2072/2121104543_11f1c03c00.jpg,other;touch
https://farm3.staticflickr.com/2107/2149157715_62c76b04e0.jpg,other;own;present;wish
https://farm1.staticflickr.com/93/214989190_59949c72da.jpg,other;many;wrong
https://farm3.staticflickr.com/2171/2200874281_83a85b3370.jpg,other;present
https://farm3.staticflickr.com/2339/2234753326_173705301f.jpg,other
https://farm1.staticflickr.com/59/226064527_fd11e68c34.jpg,other;many
